"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1852","","hypothetical protein","165","114","133","7","55.369127516778526","5.785123966942149","0.07617728531855955","1.168889755788082e-16","4.1156608301298365e-13","4.8419539177998076e-15","2","2","1","0.5","1.0"
"group_1051","","hypothetical protein","124","5","174","116","41.61073825503356","95.86776859504133","16.533333333333335","1.3430559993069168e-16","4.728900173559654e-13","5.49872113204611e-15","11","9","3","0.0654296875","0.2265625"
"group_2360","","hypothetical protein","116","99","182","22","38.92617449664429","18.181818181818183","0.14163614163614163","3.4951610932404276e-16","1.2306462209299546e-12","1.4145358861263846e-14","13","4","9","0.266845703125","0.266845703125"
"group_2511","","hypothetical protein","8","38","290","83","2.684563758389262","68.59504132231406","0.0602540834845735","9.979860729014128e-16","3.5139089626858746e-12","3.993078366688494e-14","9","2","7","0.1796875","0.1796875"
"group_1866","","Transglycosylase SLT domain protein","165","113","133","8","55.369127516778526","6.6115702479338845","0.0878301949564176","1.0292389669177677e-15","3.6239504025174603e-12","4.071854384851079e-14","2","2","1","0.5","1.0"
"group_887","","hypothetical protein","145","12","153","109","48.65771812080537","90.08264462809917","8.60838779956427","3.64387809510169e-15","1.2830094772853053e-11","1.4255660858725613e-13","13","11","4","0.0224609375","0.266845703125"
"group_1736","","hypothetical protein","286","80","12","41","95.9731543624161","33.88429752066116","12.214583333333334","4.1983552101569e-15","1.4782408694962445e-11","1.624440515929939e-13","11","8","5","0.2265625","1.0"
"group_1396","","hypothetical protein","106","3","192","118","35.57046979865772","97.52066115702479","21.71527777777778","4.569739828962174e-15","1.6090053937775815e-11","1.7489189062799798e-13","11","9","2","0.0654296875","0.0654296875"
"group_1850","","hypothetical protein","165","112","133","9","55.369127516778526","7.43801652892562","0.09969119226638024","4.7054535404783236e-15","1.6567901916024176e-11","1.7625427570238486e-13","2","2","1","0.5","1.0"
"group_250","","SNF2-related domain protein","165","112","133","9","55.369127516778526","7.43801652892562","0.09969119226638024","4.7054535404783236e-15","1.6567901916024176e-11","1.7625427570238486e-13","2","2","1","0.5","1.0"
"group_605","","hypothetical protein","32","56","266","65","10.738255033557047","53.71900826446281","0.13963480128893663","1.1039207023968304e-14","3.8869047931392396e-11","4.0914787296202525e-13","12","8","9","0.14599609375","0.3876953125"
"mshD","","Mycothiol acetyltransferase","163","111","135","10","54.69798657718121","8.264462809917356","0.10877544210877545","1.4102152722864509e-14","4.965367973720594e-11","5.172258305958951e-13","3","3","2","0.25","1.0"
"group_1911","","hypothetical protein","204","33","94","88","68.45637583892618","72.72727272727273","5.787234042553192","1.5455818404462498e-14","5.441993660211245e-11","5.61030274248582e-13","15","11","10","0.11846923828124999","0.30175781249999994"
"group_1531","","hypothetical protein","8","35","290","86","2.684563758389262","71.07438016528926","0.06778325123152709","4.798736972777681e-14","1.6896352881150215e-10","1.7067023112272945e-12","10","2","8","0.109375","0.109375"
"group_2521","","Peptidase family M23","8","35","290","86","2.684563758389262","71.07438016528926","0.06778325123152709","4.798736972777681e-14","1.6896352881150215e-10","1.7067023112272945e-12","10","2","8","0.109375","0.109375"
"group_1853","","hypothetical protein","155","108","143","13","52.013422818791945","10.743801652892563","0.13047138047138046","5.0107793689973935e-14","1.7642954158239822e-10","1.7642954158239821e-12","5","5","3","0.0625","1.0"
"group_750","","hypothetical protein","161","109","137","12","54.0268456375839","9.917355371900827","0.12937788789928348","1.5345715371267594e-13","5.40322638222332e-10","5.349729091310218e-12","3","2","2","1.0","1.0"
"group_2524","","hypothetical protein","12","38","286","83","4.026845637583892","68.59504132231406","0.0916451969083548","1.7443220520237452e-13","6.141757945175607e-10","6.021331318799614e-12","11","5","8","0.2265625","1.0"
"group_459","","hypothetical protein","128","97","170","24","42.95302013422819","19.834710743801654","0.1862947240751971","1.8339936619320662e-12","6.457491683662805e-09","6.209126618906542e-11","15","10","9","0.30175781249999994","0.6072387695312499"
"group_1710","","hypothetical protein","170","24","128","97","57.04697986577181","80.16528925619835","5.367838541666667","1.8339936619320662e-12","6.457491683662805e-09","6.209126618906542e-11","15","9","10","0.30175781249999994","0.6072387695312499"
"group_1844","","hypothetical protein","164","108","134","13","55.033557046979865","10.743801652892563","0.14731896075179657","2.232387272493125e-12","7.860235586448293e-09","7.48593865376028e-11","5","5","1","0.0625","0.375"
"group_1501","","hypothetical protein","160","21","138","100","53.691275167785236","82.64462809917356","5.521048999309869","2.9245612265514145e-12","1.0297380078687531e-08","9.714509508195784e-11","14","9","9","0.4239501953125","0.4239501953125"
"group_637","pilE_2","Fimbrial protein","1","22","297","99","0.33557046979865773","81.81818181818183","0.015151515151515152","5.451104124773282e-12","1.9193337623326725e-08","1.7910851910315963e-10","4","1","3","0.625","0.625"
"group_53","","hypothetical protein","217","44","81","77","72.81879194630872","63.63636363636363","4.688271604938271","5.493814275246021e-12","1.934372006314124e-08","1.7910851910315963e-10","15","10","9","0.30175781249999994","0.6072387695312499"
"group_111","","hypothetical protein","195","115","103","6","65.43624161073825","4.958677685950414","0.09877585479105108","8.50684387049753e-12","2.99525972680218e-08","2.7479447034882387e-10","12","3","10","0.03857421875","0.14599609375"
"group_387","","Neisseria toxin MafB","111","8","187","113","37.24832214765101","93.38842975206612","8.384358288770054","1.3871538636571648e-11","4.8841687539368774e-08","4.440153412669889e-10","12","7","5","0.7744140625","0.7744140625"
"group_2541","","hypothetical protein","0","19","298","102","0.0","84.29752066115702","0.0","1.9190980703046798e-11","6.757144305542778e-08","6.087517392380881e-10","3","0","3","0.25","0.25"
"group_2104","","hypothetical protein","281","83","17","38","94.29530201342283","31.40495867768595","7.567682494684621","2.8413061561129105e-11","1.0004238975673558e-07","8.853308828029697e-10","10","6","5","0.75390625","1.0"
"group_516","","hypothetical protein","281","83","17","38","94.29530201342283","31.40495867768595","7.567682494684621","2.8413061561129105e-11","1.0004238975673558e-07","8.853308828029697e-10","11","7","6","0.548828125","1.0"
"cdiA_1","","16S rRNA endonuclease CdiA","172","108","126","13","57.71812080536913","10.743801652892563","0.1643151087595532","6.389540189960423e-11","2.2497571008850647e-07","1.97347114112725e-09","13","7","8","0.5810546875","1.0"
"group_2525","","Cysteine-rich CPCC","0","18","298","103","0.0","85.12396694214877","0.0","7.471440060119866e-11","2.630694045168205e-07","2.2875600392766997e-09","5","0","5","0.0625","0.0625"
"group_2410","","hypothetical protein","3","23","295","98","1.006711409395973","80.99173553719008","0.04333087693441415","8.942611788204808e-11","3.148693610626913e-07","2.691191120193943e-09","7","3","4","1.0","1.0"
"group_1801","","hypothetical protein","295","98","3","23","98.99328859060402","19.00826446280992","23.078231292517007","8.942611788204809e-11","3.148693610626913e-07","2.691191120193943e-09","7","4","3","1.0","1.0"
"group_1909","","hypothetical protein","118","11","180","110","39.59731543624161","90.9090909090909","6.555555555555555","1.0951711071560997e-10","3.8560974682966274e-07","3.267879210420871e-09","12","8","5","0.3876953125","0.7744140625"
"group_738","","hypothetical protein","168","27","130","94","56.375838926174495","77.68595041322314","4.499145299145299","1.1673202234690832e-10","4.1101345068346416e-07","3.4538945435585222e-09","15","12","9","0.03515625","0.6072387695312499"
"group_2384","","hypothetical protein","125","13","173","108","41.946308724832214","89.25619834710744","6.002667852378835","1.1816497044409977e-10","4.160588609336753e-07","3.4671571744472942e-09","13","8","7","0.5810546875","1.0"
"group_2437","","hypothetical protein","4","24","294","97","1.342281879194631","80.16528925619835","0.054988662131519275","1.3369503311952582e-10","4.707402116138504e-07","3.890414972015292e-09","6","2","4","0.6875","0.6875"
"lagD_2","","Lactococcin-G-processing and transport ATP-binding protein LagD","185","34","113","87","62.08053691275168","71.900826446281","4.189224362311296","2.40193362057601e-10","8.457208278048132e-07","6.932137932826337e-09","15","12","8","0.03515625","1.0"
"group_2418","","hypothetical protein","0","17","298","104","0.0","85.9504132231405","0.0","2.8879989463146304e-10","1.0168644289973814e-06","8.267190479653508e-09","6","0","6","0.03125","0.03125"
"group_439","pilE_3","Fimbrial protein","67","1","231","120","22.483221476510067","99.17355371900827","34.8051948051948","3.3712890441153e-10","1.187030872432997e-06","9.572829616395138e-09","7","6","1","0.125","0.125"
"group_61","","hypothetical protein","162","26","136","95","54.36241610738255","78.51239669421489","4.35237556561086","4.2438106475082546e-10","1.4942457289876564e-06","1.195396583190125e-08","16","11","9","0.210113525390625","0.803619384765625"
"group_412","","hypothetical protein","174","30","124","91","58.38926174496645","75.20661157024794","4.256451612903226","4.430733681939425e-10","1.5600613294108717e-06","1.2381439122308505e-08","14","10","9","0.1795654296875","0.4239501953125"
"group_479","pilE_1","Fimbrial protein","8","27","290","94","2.684563758389262","77.68595041322314","0.09604086845466156","7.840321582592183e-10","2.760577229230708e-06","2.1736828576619746e-08","11","6","6","1.0","1.0"
"group_333","","hypothetical protein","297","103","1","18","99.66442953020133","14.87603305785124","51.90291262135922","1.0741359587675172e-09","3.782032710820428e-06","2.9547130553284593e-08","6","6","1","0.03125","0.21875"
"pilE_1","","Fimbrial protein","181","34","117","87","60.738255033557046","71.900826446281","3.9585218702865763","1.1163522526214632e-09","3.930676281480172e-06","3.047035877116412e-08","12","7","7","0.7744140625","0.7744140625"
