,0
1257,group_55
1258,group_3692
1259,group_3083
1260,group_1456
1261,group_3507
1262,group_3567
1263,group_3811
1264,group_1604
1265,group_2668
1266,group_1685
1267,traJ
1268,group_3369
1269,group_3689
1270,group_2013
1271,group_3737
1272,group_2313
1273,nrdR
1274,group_166
1275,group_2604
1276,repE_2
1277,repE
1278,group_3514
1279,group_1596
1280,group_2837
1281,parA
1282,group_1845
1283,group_3589
1284,group_2296
1285,group_3318
1286,penA
1287,group_170
1288,group_1245
1289,group_3511
1290,group_2869
1291,group_999
1292,group_2882
1293,group_898
1294,group_3810
1295,group_1642
1296,group_3590
1297,group_2730
1298,group_2320
1299,group_3368
1300,group_2612
1301,group_3688
1302,group_1754
1303,group_798
1304,topB_2
1305,group_3506
1306,group_2263
1307,group_1629
1308,group_2870
1309,group_2262
1310,group_2282
1311,group_2448
1312,group_3285
1313,group_3568
1314,group_2261
1315,group_309
1316,group_3370
1317,group_2609
1318,group_1645
1319,group_1636
1320,group_2583
1321,group_2888
1322,group_2868
1323,group_2327
1324,group_3286
1325,group_443
1326,group_2294
1327,group_1666
1328,group_1626
1329,group_2466
1330,group_1506
1331,group_1753
1332,group_2361
1333,lpxD_1
1334,group_2731
1335,group_2832
1336,group_2889
1337,group_2725
1338,group_3283
1339,group_2280
1340,group_2533
1341,group_2871
1342,group_3593
1343,group_2585
1344,group_2308
1345,group_2638
1346,group_1594
1347,group_800
1348,group_2985
1349,piiC_2
1350,group_2890
1351,group_1690
1352,group_3197
1353,group_400
1354,group_2281
1355,group_2864
1356,group_1514
1357,group_3021
1358,group_3595
1359,group_2256
1360,group_2895
1361,group_2330
1362,group_2867
1363,group_3085
1364,group_3382
1365,group_3592
1366,group_1765
1367,group_967
1368,group_715
1369,trfA
1370,group_1605
1371,group_3086
1372,group_3020
1373,group_2300
1374,group_2692
1375,group_2865
1376,group_753
1377,group_2279
1378,group_2364
1379,group_1498
1380,group_3594
1381,group_2823
1382,group_3489
1383,group_1319
1384,group_2344
1385,group_3225
1386,group_2802
1387,group_2872
1388,group_3640
1389,group_3384
1390,group_3490
1391,group_2551
1392,group_3641
1393,group_2626
1394,group_47
1395,group_94
1396,group_246
1397,group_2321
1398,group_3385
1399,group_2611
1400,group_486
1401,group_2465
1402,group_2323
1403,group_3487
1404,group_537
1405,group_3386
1406,group_3638
1407,group_2254
1408,group_2801
1409,group_3226
1410,group_275
1411,group_3488
1412,group_2264
1413,group_951
1414,group_1565
1415,group_2726
1416,group_3579
1417,group_2274
1418,group_3634
1419,group_932
1420,group_3486
1421,group_711
1422,group_2267
1423,group_1865
1424,group_2900
1425,group_3227
1426,efeU_1
1427,group_341
1428,group_3119
1429,group_3635
1430,group_2342
1431,group_2309
1432,group_1473
1433,group_3491
1434,group_2404
1435,group_2902
1436,group_2277
1437,group_3578
1438,group_3229
1439,group_3644
